region,name,LON,LAT,resevior,four_region
0,新北市/基隆新北,121.48,24.69,['新山水庫'],0
0,新北市/基隆新北,121.48,24.7,['新山水庫'],0
0,新北市/基隆新北,121.48,24.71,['新山水庫'],0
0,新北市/基隆新北,121.48,24.72,['新山水庫'],0
0,新北市/基隆新北,121.48,24.73,['新山水庫'],0
0,新北市/基隆新北,121.48,24.74,['新山水庫'],0
0,新北市/基隆新北,121.48,24.75,['新山水庫'],0
0,新北市/基隆新北,121.48,24.76,['新山水庫'],0
0,新北市/基隆新北,121.48,24.77,['新山水庫'],0
0,新北市/基隆新北,121.48,24.78,['新山水庫'],0
0,新北市/基隆新北,121.48,24.79,['新山水庫'],0
0,新北市/基隆新北,121.48,24.8,['新山水庫'],0
0,新北市/基隆新北,121.48,24.81,['新山水庫'],0
0,新北市/基隆新北,121.48,24.82,['新山水庫'],0
0,新北市/基隆新北,121.48,24.83,['新山水庫'],0
0,新北市/基隆新北,121.48,24.84,['新山水庫'],0
0,新北市/基隆新北,121.48,24.85,['新山水庫'],0
0,新北市/基隆新北,121.48,24.86,['新山水庫'],0
0,新北市/基隆新北,121.48,24.87,['新山水庫'],0
0,新北市/基隆新北,121.48,24.88,['新山水庫'],0
0,新北市/基隆新北,121.48,24.89,['新山水庫'],0
0,新北市/基隆新北,121.48,24.9,['新山水庫'],0
0,新北市/基隆新北,121.48,24.91,['新山水庫'],0
0,新北市/基隆新北,121.48,24.92,['新山水庫'],0
0,新北市/基隆新北,121.48,24.93,['新山水庫'],0
0,新北市/基隆新北,121.48,24.94,['新山水庫'],0
0,新北市/基隆新北,121.48,24.95,['新山水庫'],0
0,新北市/基隆新北,121.48,25.16,['新山水庫'],0
0,新北市/基隆新北,121.48,25.17,['新山水庫'],0
0,新北市/基隆新北,121.48,25.18,['新山水庫'],0
0,新北市/基隆新北,121.48,25.19,['新山水庫'],0
0,新北市/基隆新北,121.48,25.2,['新山水庫'],0
0,新北市/基隆新北,121.48,25.21,['新山水庫'],0
0,新北市/基隆新北,121.48,25.22,['新山水庫'],0
0,新北市/基隆新北,121.48,25.23,['新山水庫'],0
0,新北市/基隆新北,121.48,25.24,['新山水庫'],0
0,新北市/基隆新北,121.48,25.25,['新山水庫'],0
0,新北市/基隆新北,121.48,25.26,['新山水庫'],0
0,新北市/基隆新北,121.48,25.27,['新山水庫'],0
0,新北市/基隆新北,121.49,24.67,['新山水庫'],0
0,新北市/基隆新北,121.49,24.68,['新山水庫'],0
0,新北市/基隆新北,121.49,24.69,['新山水庫'],0
0,新北市/基隆新北,121.49,24.7,['新山水庫'],0
0,新北市/基隆新北,121.49,24.71,['新山水庫'],0
0,新北市/基隆新北,121.49,24.72,['新山水庫'],0
0,新北市/基隆新北,121.49,24.73,['新山水庫'],0
0,新北市/基隆新北,121.49,24.74,['新山水庫'],0
0,新北市/基隆新北,121.49,24.75,['新山水庫'],0
0,新北市/基隆新北,121.49,24.76,['新山水庫'],0
0,新北市/基隆新北,121.49,24.77,['新山水庫'],0
0,新北市/基隆新北,121.49,24.78,['新山水庫'],0
0,新北市/基隆新北,121.49,24.79,['新山水庫'],0
0,新北市/基隆新北,121.49,24.8,['新山水庫'],0
0,新北市/基隆新北,121.49,24.81,['新山水庫'],0
0,新北市/基隆新北,121.49,24.82,['新山水庫'],0
0,新北市/基隆新北,121.49,24.83,['新山水庫'],0
0,新北市/基隆新北,121.49,24.84,['新山水庫'],0
0,新北市/基隆新北,121.49,24.85,['新山水庫'],0
0,新北市/基隆新北,121.49,24.86,['新山水庫'],0
0,新北市/基隆新北,121.49,24.87,['新山水庫'],0
0,新北市/基隆新北,121.49,24.88,['新山水庫'],0
0,新北市/基隆新北,121.49,24.89,['新山水庫'],0
0,新北市/基隆新北,121.49,24.9,['新山水庫'],0
0,新北市/基隆新北,121.49,24.91,['新山水庫'],0
0,新北市/基隆新北,121.49,24.92,['新山水庫'],0
0,新北市/基隆新北,121.49,24.93,['新山水庫'],0
0,新北市/基隆新北,121.49,24.94,['新山水庫'],0
0,新北市/基隆新北,121.49,24.95,['新山水庫'],0
0,新北市/基隆新北,121.49,25.17,['新山水庫'],0
0,新北市/基隆新北,121.49,25.18,['新山水庫'],0
0,新北市/基隆新北,121.49,25.19,['新山水庫'],0
0,新北市/基隆新北,121.49,25.2,['新山水庫'],0
0,新北市/基隆新北,121.49,25.21,['新山水庫'],0
0,新北市/基隆新北,121.49,25.22,['新山水庫'],0
